iter	Passed	Remaining
738	96987	34254
739	97125	34125
740	97255	33993
741	97389	33863
742	97515	33730
743	97649	33599
744	97785	33470
745	97914	33338
746	98040	33205
747	98171	33073
748	98308	32944
749	98433	32811
750	98576	32683
751	98704	32551
752	98835	32420
753	98971	32290
754	99103	32159
755	99238	32029
756	99372	31899
757	99503	31767
758	99634	31636
759	99764	31504
760	99893	31372
761	100025	31241
762	100151	31108
763	100282	30977
764	100417	30847
765	100543	30714
766	100674	30582
767	100803	30451
768	100931	30318
769	101061	30187
770	101193	30056
771	101322	29924
772	101449	29791
773	101581	29660
774	101715	29530
775	101840	29397
776	101973	29266
777	102104	29135
778	102229	29002
779	102365	28872
780	102503	28742
781	102635	28611
782	102764	28480
783	102889	28347
784	103021	28216
785	103150	28084
786	103282	27953
787	103415	27822
788	103541	27689
789	103675	27559
790	103809	27428
791	103934	27295
792	104061	27163
793	104202	27034
794	104330	26902
795	104463	26772
796	104594	26640
797	104734	26511
798	104874	26382
799	105003	26250
800	105134	26119
801	105267	25988
802	105404	25858
803	105539	25728
804	105671	25597
805	105807	25467
806	105945	25337
807	106074	25205
808	106203	25073
809	106336	24943
810	106474	24813
811	106607	24682
812	106736	24550
813	106875	24421
814	107010	24290
815	107139	24158
816	107270	24027
817	107404	23896
818	107540	23766
819	107680	23637
820	107807	23504
821	107938	23373
822	108067	23241
823	108201	23111
824	108334	22980
825	108477	22851
826	108612	22720
827	108750	22590
828	108882	22459
829	109021	22329
830	109155	22198
831	109279	22066
832	109413	21935
833	109541	21803
834	109676	21672
835	109803	21540
836	109929	21407
837	110057	21276
838	110182	21143
839	110309	21011
840	110436	20879
841	110565	20747
842	110690	20614
843	110817	20482
844	110949	20351
845	111084	20220
846	111222	20091
847	111356	19960
848	111490	19829
849	111625	19698
850	111752	19566
851	111883	19435
852	112013	19303
853	112142	19171
854	112275	19040
855	112405	18909
856	112535	18777
857	112666	18646
858	112795	18514
859	112928	18383
860	113058	18252
861	113194	18121
862	113326	17990
863	113457	17859
864	113593	17728
865	113726	17597
866	113861	17466
867	113993	17335
868	114127	17204
869	114257	17072
870	114388	16941
871	114533	16812
872	114666	16681
873	114801	16550
874	114935	16419
875	115067	16288
876	115201	16157
877	115325	16024
878	115466	15894
879	115600	15763
880	115729	15631
881	115859	15500
882	115997	15369
883	116126	15238
884	116258	15106
885	116389	14975
886	116516	14843
887	116643	14711
888	116772	14580
889	116913	14449
890	117036	14317
891	117163	14185
892	117291	14053
893	117416	13921
894	117543	13790
895	117682	13659
896	117818	13528
897	117945	13396
898	118077	13265
899	118205	13133
900	118331	13001
901	118468	12871
902	118592	12739
903	118728	12608
904	118861	12477
905	118997	12346
906	119137	12215
907	119267	12084
908	119398	11952
909	119525	11821
910	119653	11689
911	119785	11558
912	119911	11426
913	120045	11295
914	120175	11163
915	120309	11032
916	120436	10900
917	120563	10769
918	120701	10638
919	120835	10507
920	120962	10375
921	121096	10244
922	121222	10112
923	121349	9981
924	121487	9850
925	121617	9718
926	121748	9587
927	121880	9456
928	122014	9325
929	122160	9194
930	122285	9063
931	122417	8931
932	122545	8800
933	122675	8668
934	122804	8537
935	122935	8405
936	123068	8274
937	123204	8143
938	123334	8012
939	123464	7880
940	123593	7749
941	123719	7617
942	123845	7485
943	123978	7354
944	124110	7223
945	124246	7092
946	124381	6961
947	124518	6830
948	124656	6699
949	124785	6567
950	124924	6436
951	125061	6305
952	125197	6174
953	125335	6043
954	125468	5912
955	125603	5780
956	125734	5649
957	125864	5518
958	125993	5386
959	126130	5255
960	126262	5124
961	126399	4992
962	126529	4861
963	126661	4730
964	126788	4598
965	126922	4467
